min_area,latitude_formatada,longitude_formatada,quant_quartos,quant_vagas,quant_suites,price
69,0.62030778816,0.67033179448,3,1,1,324000.00
80,0.62692194955,0.40666195223,3,2,1,760000.00
53,0.57902985956,0.45142710199,2,1,1,265000.00
63,0.57902985956,0.45142710199,3,1,1,279000.00
60,0.77145071415,0.33550123624,3,1,1,378995.00
43,0.62431597088,0.05643577216,2,1,0,196900.00
245,0.63530386715,0.43452310625,4,4,4,3200000.00
64,0.70720684083,0.47402990598,3,1,1,429000.00
80,0.76220786137,0.36753327762,3,2,1,595000.00
69,0.77104710282,0.52220991005,2,1,1,371081.00
140,0.73316841028,0.20448967660,4,2,3,1496000.00
30,0.69705317694,0.28057883333,1,1,0,408313.00
51,0.55091595216,0.49056989386,2,1,0,251540.00
63,0.67625046615,0.56048720586,2,1,0,350000.00
74,0.55156587382,0.12533056085,3,1,0,295000.00
60,0.75439130655,0.15428286974,3,1,1,320097.00
82,0.63572758231,0.29523644874,1,1,1,830000.00
45,0.63044656600,0.61746356012,2,1,0,285500.00
96,0.83992759550,0.22583930312,3,2,1,742900.00
55,0.66170787441,0.20142340979,2,1,1,390000.00
51,0.70146972838,0.39038541397,1,1,0,350000.00
55,0.61999103768,0.18370821511,2,2,1,349000.00
35,0.62772947913,0.25411506993,1,1,1,219000.00
65,0.72588115411,0.52712271322,2,0,0,250000.00
97,0.60439353178,0.18021973392,2,2,2,695000.00
45,0.61308498704,0.21649281454,2,1,0,269000.00
75,0.67235584707,0.55284890459,3,2,1,495000.00
63,0.49092442340,0.41518442776,3,1,0,319900.00
54,0.64155201598,0.31493088194,1,1,0,750000.00
69,0.59041599590,0.17689088625,3,2,1,430000.00
55,0.72588115411,0.52712271322,2,1,0,315000.00
32,0.63006152387,0.31786488097,1,1,0,488550.00
48,0.52527251438,0.32528425627,2,1,0,350000.00
41,0.77949608436,0.63394577586,1,1,0,380000.00
67,0.73208218938,0.59959915696,3,1,1,312000.00
65,0.63214863946,0.54888217439,3,1,1,345000.00
58,0.65058508296,0.60518024905,2,1,1,282800.00
62,0.70392009417,0.38465120401,2,1,1,650000.00
59,0.53861670276,0.45784849627,3,1,0,255000.00
65,0.53243377628,0.25729927007,2,1,0,426900.00
56,0.69326721065,0.60674987012,2,1,0,330000.00
65,0.53765432762,0.24206784273,2,1,0,415000.00
58,0.65058508296,0.60518024905,2,1,1,280987.00
46,0.53844942658,0.46234646947,2,1,0,230005.00
45,0.58454889912,0.30584545390,1,1,0,345000.00
62,0.74086019855,0.29245187538,2,2,1,628000.00
103,0.57724384109,0.28779274834,2,1,0,610000.00
181,0.51156400155,0.27897902307,3,3,3,1150000.00
250,0.67252726678,0.42812625426,4,4,4,2350000.00
40,0.59225848927,0.20940356571,2,0,0,179900.00
50,0.73736213144,0.57408841656,2,1,0,270000.00
92,0.68931795825,0.59276358427,3,2,1,780000.00
52,0.58335801552,0.12615479109,2,1,0,240000.00
46,0.73817042833,0.41754483204,2,1,0,370000.00
46,0.71507311810,0.49394152765,2,1,0,276888.00
43,0.57495077630,0.34713211314,1,1,1,365000.00
84,0.59041599590,0.17689088625,3,2,1,520000.00
67,0.86882524550,0.22038591785,3,1,1,340000.00
72,0.56753553084,0.43026577787,2,2,1,700000.00
58,0.68097793643,0.41700142649,2,1,1,635000.00
220,0.68303512646,0.52389637851,4,3,4,1579000.00
38,0.71959233722,0.41363630835,1,0,0,220000.00
67,0.71217893333,0.64809343274,3,1,0,325000.00
63,0.73577469587,0.36873063765,2,2,1,490000.00
33,0.73267072529,0.38218459456,1,1,0,180000.00
45,0.69331324996,0.42592070536,2,1,0,245000.00
35,0.69878778485,0.36124914645,1,1,0,490000.00
42,0.73884152808,0.37766620565,2,0,0,199000.00
112,0.61506529142,0.35333610176,3,2,1,960000.00
86,0.64452784381,0.39461733129,3,2,1,980000.00
67,0.65784809175,0.41454849992,2,2,1,960000.00
50,0.59076021651,0.17373513779,2,1,0,255000.00
46,0.54675783474,0.38294953235,2,1,0,275000.00
97,0.68109211393,0.53091091450,3,2,1,730000.00
45,0.61427694489,0.34917129568,1,1,1,550000.00
95,0.63246124641,0.44900566775,3,2,1,849000.00
63,0.67328077690,0.37947994655,2,1,0,359000.00
108,0.65629687378,0.39216722817,2,2,2,1150000.00
40,0.63152680179,0.31874384271,1,1,1,485000.00
62,0.83014178574,0.37955075000,3,1,0,330000.00
40,0.70392009417,0.38465120401,1,1,0,430000.00
203,0.65219523125,0.32930419764,3,3,3,3724000.00
79,0.69509696647,0.54709927424,2,1,2,668000.00
132,0.77885659828,0.39470703013,4,2,2,940000.00
63,0.57902985956,0.45142710199,3,1,1,281000.00
70,0.72177444726,0.59913046424,2,1,1,465000.00
54,0.75316236378,0.63855864176,2,1,0,305000.00
65,0.66037426893,0.40515379550,2,0,0,360000.00
124,0.60045655654,0.20403032299,3,2,1,520000.00
70,0.60776898086,0.19245374320,3,1,1,320000.00
61,0.66069746492,0.54026044372,2,1,0,305000.00
140,0.70716632623,0.56718833889,3,3,1,1035000.00
89,0.65042916314,0.42469120143,3,2,1,890000.00
42,0.71353632579,0.39970692588,1,0,0,230000.00
103,0.75054947922,0.32664342171,4,2,1,700400.00
140,0.53955989485,0.27253938496,3,2,3,1120000.00
58,0.68083015023,0.52840933771,3,1,0,350000.00
110,0.57381191712,0.20108633329,3,2,1,490000.00
90,0.65629687378,0.39216722817,2,0,2,1493600.00
65,0.47019936558,0.29655608588,3,1,1,293000.00
141,0.61134009702,0.44699233064,3,3,3,1300000.00
62,0.63766061966,0.44434024224,2,1,1,600000.00
55,0.68528138462,0.14513771486,2,1,0,297000.00
130,0.79900585774,0.48028493390,3,3,3,1400000.00
55,0.55354341584,0.34435687888,2,1,0,400000.00
57,0.68282334562,0.53947422147,2,1,0,380000.00
53,0.65621461687,0.53813590612,2,0,0,380000.00
58,0.72649516510,0.38690062498,1,0,0,295000.00
75,0.61516887988,0.30093569136,2,1,1,600000.00
85,0.65376593919,0.47607886200,2,0,0,375000.00
150,0.66403792412,0.28821148771,3,1,1,1697000.00
136,0.61414496552,0.29066484865,3,3,2,1350000.00
60,0.81398858532,0.47844165536,2,2,1,420000.00
50,0.64712538193,0.12936440229,2,1,0,269000.00
41,0.70575307274,0.40217853066,1,1,0,270000.00
133,0.67328077690,0.37947994655,3,1,0,832000.00
50,0.59162376058,0.69207974466,2,1,0,200000.00
55,0.70412097904,0.51362727331,2,2,1,430000.00
107,0.58771793861,0.18291265375,2,2,2,750000.00
70,0.70451553597,0.19457697767,3,1,1,349000.00
45,0.72560844791,0.42091038456,2,0,0,320000.00
170,0.56465531133,0.32946774056,3,3,3,1700000.00
38,0.72375551896,0.50060096049,1,1,0,225000.00
90,0.60410440489,0.35211029004,3,2,2,1100000.00
60,0.69491020032,0.48711116748,2,2,2,490000.00
37,0.71959233722,0.41363630835,1,1,0,345000.00
